trial_index,trial_id,model,scenario_index,profile_id,baseline,prompt_order,repetition,raw_output,parsed_choice
138,gemma4:e2b|23||True|scenario_first|0,gemma4:e2b,23,,True,scenario_first,0,E,E
144,gemma4:e2b|24||True|scenario_first|0,gemma4:e2b,24,,True,scenario_first,0,C,C
151,gemma4:e2b|25||True|options_first|0,gemma4:e2b,25,,True,options_first,0,C,C
157,gemma4:e2b|26||True|options_first|0,gemma4:e2b,26,,True,options_first,0,E,E
163,gemma4:e2b|27||True|options_first|0,gemma4:e2b,27,,True,options_first,0,C,C
169,gemma4:e2b|28||True|options_first|0,gemma4:e2b,28,,True,options_first,0,C,C
176,gemma4:e2b|29||True|scenario_first|1,gemma4:e2b,29,,True,scenario_first,1,B,B
180,gemma4:e2b|30||True|scenario_first|0,gemma4:e2b,30,,True,scenario_first,0,B,B
187,gemma4:e2b|31||True|options_first|0,gemma4:e2b,31,,True,options_first,0,C,C
192,gemma4:e2b|32||True|scenario_first|0,gemma4:e2b,32,,True,scenario_first,0,B,B
198,gemma4:e2b|33||True|scenario_first|0,gemma4:e2b,33,,True,scenario_first,0,D,D
204,gemma4:e2b|34||True|scenario_first|0,gemma4:e2b,34,,True,scenario_first,0,C,C
210,gemma4:e2b|35||True|scenario_first|0,gemma4:e2b,35,,True,scenario_first,0,B,B
217,gemma4:e2b|36||True|options_first|0,gemma4:e2b,36,,True,options_first,0,A,A
222,gemma4:e2b|37||True|scenario_first|0,gemma4:e2b,37,,True,scenario_first,0,B,B
228,gemma4:e2b|38||True|scenario_first|0,gemma4:e2b,38,,True,scenario_first,0,B,B
234,gemma4:e2b|39||True|scenario_first|0,gemma4:e2b,39,,True,scenario_first,0,C,C
240,gemma4:e2b|40||True|scenario_first|0,gemma4:e2b,40,,True,scenario_first,0,B,B
246,gemma4:e2b|41||True|scenario_first|0,gemma4:e2b,41,,True,scenario_first,0,B,B
252,gemma4:e2b|42||True|scenario_first|0,gemma4:e2b,42,,True,scenario_first,0,E,E
258,gemma4:e2b|43||True|scenario_first|0,gemma4:e2b,43,,True,scenario_first,0,A,A
264,gemma4:e2b|44||True|scenario_first|0,gemma4:e2b,44,,True,scenario_first,0,C,C
270,gemma4:e2b|45||True|scenario_first|0,gemma4:e2b,45,,True,scenario_first,0,D,D
277,gemma4:e2b|46||True|options_first|0,gemma4:e2b,46,,True,options_first,0,B,B
284,gemma4:e2b|47||True|scenario_first|1,gemma4:e2b,47,,True,scenario_first,1,E,E
288,gemma4:e2b|48||True|scenario_first|0,gemma4:e2b,48,,True,scenario_first,0,D,D
296,gemma4:e2b|49||True|scenario_first|1,gemma4:e2b,49,,True,scenario_first,1,E,E
300,gemma4:e2b|50||True|scenario_first|0,gemma4:e2b,50,,True,scenario_first,0,C,C
307,gemma4:e2b|51||True|options_first|0,gemma4:e2b,51,,True,options_first,0,D,D
312,gemma4:e2b|52||True|scenario_first|0,gemma4:e2b,52,,True,scenario_first,0,C,C
318,gemma4:e2b|53||True|scenario_first|0,gemma4:e2b,53,,True,scenario_first,0,C,C
324,gemma4:e2b|54||True|scenario_first|0,gemma4:e2b,54,,True,scenario_first,0,C,C
331,gemma4:e2b|55||True|options_first|0,gemma4:e2b,55,,True,options_first,0,D,D
336,gemma4:e2b|56||True|scenario_first|0,gemma4:e2b,56,,True,scenario_first,0,D,D
345,gemma4:e2b|57||True|options_first|1,gemma4:e2b,57,,True,options_first,1,B,B
348,gemma4:e2b|58||True|scenario_first|0,gemma4:e2b,58,,True,scenario_first,0,B,B
356,gemma4:e2b|59||True|scenario_first|1,gemma4:e2b,59,,True,scenario_first,1,C,C
360,gemma4:e2b|60||True|scenario_first|0,gemma4:e2b,60,,True,scenario_first,0,D,D
366,gemma4:e2b|61||True|scenario_first|0,gemma4:e2b,61,,True,scenario_first,0,F,F
373,gemma4:e2b|62||True|options_first|0,gemma4:e2b,62,,True,options_first,0,E,E
378,gemma4:e2b|63||True|scenario_first|0,gemma4:e2b,63,,True,scenario_first,0,B,B
384,gemma4:e2b|64||True|scenario_first|0,gemma4:e2b,64,,True,scenario_first,0,D,D
390,gemma4:e2b|65||True|scenario_first|0,gemma4:e2b,65,,True,scenario_first,0,C,C
396,gemma4:e2b|66||True|scenario_first|0,gemma4:e2b,66,,True,scenario_first,0,D,D
402,gemma4:e2b|67||True|scenario_first|0,gemma4:e2b,67,,True,scenario_first,0,C,C
410,gemma4:e2b|68||True|scenario_first|1,gemma4:e2b,68,,True,scenario_first,1,E,E
414,gemma4:e2b|69||True|scenario_first|0,gemma4:e2b,69,,True,scenario_first,0,A,A
420,gemma4:e2b|70||True|scenario_first|0,gemma4:e2b,70,,True,scenario_first,0,C,C
426,gemma4:e2b|71||True|scenario_first|0,gemma4:e2b,71,,True,scenario_first,0,F,F
432,gemma4:e2b|72||True|scenario_first|0,gemma4:e2b,72,,True,scenario_first,0,C,C
438,gemma4:e2b|73||True|scenario_first|0,gemma4:e2b,73,,True,scenario_first,0,E,E
445,gemma4:e2b|74||True|options_first|0,gemma4:e2b,74,,True,options_first,0,B,B
450,gemma4:e2b|75||True|scenario_first|0,gemma4:e2b,75,,True,scenario_first,0,F,F
457,gemma4:e2b|76||True|options_first|0,gemma4:e2b,76,,True,options_first,0,F,F
462,gemma4:e2b|77||True|scenario_first|0,gemma4:e2b,77,,True,scenario_first,0,C,C
468,gemma4:e2b|78||True|scenario_first|0,gemma4:e2b,78,,True,scenario_first,0,C,C
474,gemma4:e2b|79||True|scenario_first|0,gemma4:e2b,79,,True,scenario_first,0,B,B
480,gemma4:e2b|80||True|scenario_first|0,gemma4:e2b,80,,True,scenario_first,0,C,C
486,gemma4:e2b|81||True|scenario_first|0,gemma4:e2b,81,,True,scenario_first,0,B,B
494,gemma4:e2b|82||True|scenario_first|1,gemma4:e2b,82,,True,scenario_first,1,A,A
498,gemma4:e2b|83||True|scenario_first|0,gemma4:e2b,83,,True,scenario_first,0,B,B
504,gemma4:e2b|84||True|scenario_first|0,gemma4:e2b,84,,True,scenario_first,0,C,C
511,gemma4:e2b|85||True|options_first|0,gemma4:e2b,85,,True,options_first,0,C,C
517,gemma4:e2b|86||True|options_first|0,gemma4:e2b,86,,True,options_first,0,B,B
523,gemma4:e2b|87||True|options_first|0,gemma4:e2b,87,,True,options_first,0,C,C
528,gemma4:e2b|88||True|scenario_first|0,gemma4:e2b,88,,True,scenario_first,0,F,F
534,gemma4:e2b|89||True|scenario_first|0,gemma4:e2b,89,,True,scenario_first,0,D,D
540,gemma4:e2b|90||True|scenario_first|0,gemma4:e2b,90,,True,scenario_first,0,B,B
546,gemma4:e2b|91||True|scenario_first|0,gemma4:e2b,91,,True,scenario_first,0,C,C
553,gemma4:e2b|92||True|options_first|0,gemma4:e2b,92,,True,options_first,0,C,C
558,gemma4:e2b|93||True|scenario_first|0,gemma4:e2b,93,,True,scenario_first,0,D,D
564,gemma4:e2b|94||True|scenario_first|0,gemma4:e2b,94,,True,scenario_first,0,F,F
570,gemma4:e2b|95||True|scenario_first|0,gemma4:e2b,95,,True,scenario_first,0,B,B
577,gemma4:e2b|96||True|options_first|0,gemma4:e2b,96,,True,options_first,0,B,B
582,gemma4:e2b|97||True|scenario_first|0,gemma4:e2b,97,,True,scenario_first,0,C,C
588,gemma4:e2b|98||True|scenario_first|0,gemma4:e2b,98,,True,scenario_first,0,D,D
594,gemma4:e2b|99||True|scenario_first|0,gemma4:e2b,99,,True,scenario_first,0,E,E
600,gemma4:e2b|100||True|scenario_first|0,gemma4:e2b,100,,True,scenario_first,0,E,E
606,gemma4:e2b|101||True|scenario_first|0,gemma4:e2b,101,,True,scenario_first,0,F,F
612,gemma4:e2b|102||True|scenario_first|0,gemma4:e2b,102,,True,scenario_first,0,C,C
620,gemma4:e2b|103||True|scenario_first|1,gemma4:e2b,103,,True,scenario_first,1,F,F
624,gemma4:e2b|104||True|scenario_first|0,gemma4:e2b,104,,True,scenario_first,0,D,D
630,gemma4:e2b|105||True|scenario_first|0,gemma4:e2b,105,,True,scenario_first,0,E,E
637,gemma4:e2b|106||True|options_first|0,gemma4:e2b,106,,True,options_first,0,B,B
642,gemma4:e2b|107||True|scenario_first|0,gemma4:e2b,107,,True,scenario_first,0,D,D
648,gemma4:e2b|108||True|scenario_first|0,gemma4:e2b,108,,True,scenario_first,0,D,D
655,gemma4:e2b|109||True|options_first|0,gemma4:e2b,109,,True,options_first,0,F,F
661,gemma4:e2b|110||True|options_first|0,gemma4:e2b,110,,True,options_first,0,B,B
666,gemma4:e2b|111||True|scenario_first|0,gemma4:e2b,111,,True,scenario_first,0,C,C
672,gemma4:e2b|112||True|scenario_first|0,gemma4:e2b,112,,True,scenario_first,0,D,D
680,gemma4:e2b|113||True|scenario_first|1,gemma4:e2b,113,,True,scenario_first,1,A,A
684,gemma4:e2b|114||True|scenario_first|0,gemma4:e2b,114,,True,scenario_first,0,B,B
690,gemma4:e2b|115||True|scenario_first|0,gemma4:e2b,115,,True,scenario_first,0,B,B
696,gemma4:e2b|116||True|scenario_first|0,gemma4:e2b,116,,True,scenario_first,0,B,B
703,gemma4:e2b|117||True|options_first|0,gemma4:e2b,117,,True,options_first,0,A,A
708,gemma4:e2b|118||True|scenario_first|0,gemma4:e2b,118,,True,scenario_first,0,C,C
715,gemma4:e2b|119||True|options_first|0,gemma4:e2b,119,,True,options_first,0,D,D
720,gemma4:e2b|120||True|scenario_first|0,gemma4:e2b,120,,True,scenario_first,0,C,C
726,gemma4:e2b|121||True|scenario_first|0,gemma4:e2b,121,,True,scenario_first,0,C,C
732,gemma4:e2b|122||True|scenario_first|0,gemma4:e2b,122,,True,scenario_first,0,B,B
738,gemma4:e2b|123||True|scenario_first|0,gemma4:e2b,123,,True,scenario_first,0,C,C
745,gemma4:e2b|124||True|options_first|0,gemma4:e2b,124,,True,options_first,0,C,C
750,gemma4:e2b|125||True|scenario_first|0,gemma4:e2b,125,,True,scenario_first,0,C,C
756,gemma4:e2b|126||True|scenario_first|0,gemma4:e2b,126,,True,scenario_first,0,C,C
762,gemma4:e2b|127||True|scenario_first|0,gemma4:e2b,127,,True,scenario_first,0,A,A
768,gemma4:e2b|128||True|scenario_first|0,gemma4:e2b,128,,True,scenario_first,0,F,F
774,gemma4:e2b|129||True|scenario_first|0,gemma4:e2b,129,,True,scenario_first,0,C,C
780,gemma4:e2b|130||True|scenario_first|0,gemma4:e2b,130,,True,scenario_first,0,C,C
786,gemma4:e2b|131||True|scenario_first|0,gemma4:e2b,131,,True,scenario_first,0,C,C
793,gemma4:e2b|132||True|options_first|0,gemma4:e2b,132,,True,options_first,0,D,D
798,gemma4:e2b|133||True|scenario_first|0,gemma4:e2b,133,,True,scenario_first,0,C,C
804,gemma4:e2b|134||True|scenario_first|0,gemma4:e2b,134,,True,scenario_first,0,C,C
810,gemma4:e2b|135||True|scenario_first|0,gemma4:e2b,135,,True,scenario_first,0,C,C
816,gemma4:e2b|136||True|scenario_first|0,gemma4:e2b,136,,True,scenario_first,0,F,F
823,gemma4:e2b|137||True|options_first|0,gemma4:e2b,137,,True,options_first,0,F,F
828,gemma4:e2b|138||True|scenario_first|0,gemma4:e2b,138,,True,scenario_first,0,D,D
835,gemma4:e2b|139||True|options_first|0,gemma4:e2b,139,,True,options_first,0,C,C
841,gemma4:e2b|140||True|options_first|0,gemma4:e2b,140,,True,options_first,0,C,C
846,gemma4:e2b|141||True|scenario_first|0,gemma4:e2b,141,,True,scenario_first,0,C,C
852,gemma4:e2b|142||True|scenario_first|0,gemma4:e2b,142,,True,scenario_first,0,D,D
858,gemma4:e2b|143||True|scenario_first|0,gemma4:e2b,143,,True,scenario_first,0,B,B
864,gemma4:e2b|144||True|scenario_first|0,gemma4:e2b,144,,True,scenario_first,0,E,E
871,gemma4:e2b|145||True|options_first|0,gemma4:e2b,145,,True,options_first,0,B,B
876,gemma4:e2b|146||True|scenario_first|0,gemma4:e2b,146,,True,scenario_first,0,C,C
882,gemma4:e2b|147||True|scenario_first|0,gemma4:e2b,147,,True,scenario_first,0,B,B
888,gemma4:e2b|148||True|scenario_first|0,gemma4:e2b,148,,True,scenario_first,0,C,C
894,gemma4:e2b|149||True|scenario_first|0,gemma4:e2b,149,,True,scenario_first,0,B,B
902,gemma4:e2b|150||True|scenario_first|1,gemma4:e2b,150,,True,scenario_first,1,C,C
906,gemma4:e2b|151||True|scenario_first|0,gemma4:e2b,151,,True,scenario_first,0,B,B
912,gemma4:e2b|152||True|scenario_first|0,gemma4:e2b,152,,True,scenario_first,0,C,C
919,gemma4:e2b|153||True|options_first|0,gemma4:e2b,153,,True,options_first,0,C,C
924,gemma4:e2b|154||True|scenario_first|0,gemma4:e2b,154,,True,scenario_first,0,D,D
930,gemma4:e2b|155||True|scenario_first|0,gemma4:e2b,155,,True,scenario_first,0,E,E
936,gemma4:e2b|156||True|scenario_first|0,gemma4:e2b,156,,True,scenario_first,0,D,D
942,gemma4:e2b|157||True|scenario_first|0,gemma4:e2b,157,,True,scenario_first,0,C,C
949,gemma4:e2b|158||True|options_first|0,gemma4:e2b,158,,True,options_first,0,C,C
954,gemma4:e2b|159||True|scenario_first|0,gemma4:e2b,159,,True,scenario_first,0,C,C
960,gemma4:e2b|160||True|scenario_first|0,gemma4:e2b,160,,True,scenario_first,0,C,C
966,gemma4:e2b|161||True|scenario_first|0,gemma4:e2b,161,,True,scenario_first,0,C,C
974,gemma4:e2b|162||True|scenario_first|1,gemma4:e2b,162,,True,scenario_first,1,E,E
979,gemma4:e2b|163||True|options_first|0,gemma4:e2b,163,,True,options_first,0,B,B
984,gemma4:e2b|164||True|scenario_first|0,gemma4:e2b,164,,True,scenario_first,0,C,C
990,gemma4:e2b|165||True|scenario_first|0,gemma4:e2b,165,,True,scenario_first,0,D,D
996,gemma4:e2b|166||True|scenario_first|0,gemma4:e2b,166,,True,scenario_first,0,B,B
1002,gemma4:e2b|167||True|scenario_first|0,gemma4:e2b,167,,True,scenario_first,0,C,C
1009,gemma4:e2b|168||True|options_first|0,gemma4:e2b,168,,True,options_first,0,E,E
1014,gemma4:e2b|169||True|scenario_first|0,gemma4:e2b,169,,True,scenario_first,0,C,C
1020,gemma4:e2b|170||True|scenario_first|0,gemma4:e2b,170,,True,scenario_first,0,B,B
1026,gemma4:e2b|171||True|scenario_first|0,gemma4:e2b,171,,True,scenario_first,0,B,B
1033,gemma4:e2b|172||True|options_first|0,gemma4:e2b,172,,True,options_first,0,F,F
1038,gemma4:e2b|173||True|scenario_first|0,gemma4:e2b,173,,True,scenario_first,0,B,B
1045,gemma4:e2b|174||True|options_first|0,gemma4:e2b,174,,True,options_first,0,D,D
1052,gemma4:e2b|175||True|scenario_first|1,gemma4:e2b,175,,True,scenario_first,1,C,C
1056,gemma4:e2b|176||True|scenario_first|0,gemma4:e2b,176,,True,scenario_first,0,B,B
1062,gemma4:e2b|177||True|scenario_first|0,gemma4:e2b,177,,True,scenario_first,0,B,B
1068,gemma4:e2b|178||True|scenario_first|0,gemma4:e2b,178,,True,scenario_first,0,C,C
1075,gemma4:e2b|179||True|options_first|0,gemma4:e2b,179,,True,options_first,0,C,C
1080,gemma4:e2b|180||True|scenario_first|0,gemma4:e2b,180,,True,scenario_first,0,C,C
1086,gemma4:e2b|181||True|scenario_first|0,gemma4:e2b,181,,True,scenario_first,0,E,E
1092,gemma4:e2b|182||True|scenario_first|0,gemma4:e2b,182,,True,scenario_first,0,C,C
1099,gemma4:e2b|183||True|options_first|0,gemma4:e2b,183,,True,options_first,0,D,D
1104,gemma4:e2b|184||True|scenario_first|0,gemma4:e2b,184,,True,scenario_first,0,C,C
1110,gemma4:e2b|185||True|scenario_first|0,gemma4:e2b,185,,True,scenario_first,0,E,E
1117,gemma4:e2b|186||True|options_first|0,gemma4:e2b,186,,True,options_first,0,C,C
1122,gemma4:e2b|187||True|scenario_first|0,gemma4:e2b,187,,True,scenario_first,0,B,B
1128,gemma4:e2b|188||True|scenario_first|0,gemma4:e2b,188,,True,scenario_first,0,B,B
1135,gemma4:e2b|189||True|options_first|0,gemma4:e2b,189,,True,options_first,0,A,A
1140,gemma4:e2b|190||True|scenario_first|0,gemma4:e2b,190,,True,scenario_first,0,C,C
1146,gemma4:e2b|191||True|scenario_first|0,gemma4:e2b,191,,True,scenario_first,0,B,B
1152,gemma4:e2b|192||True|scenario_first|0,gemma4:e2b,192,,True,scenario_first,0,D,D
1158,gemma4:e2b|193||True|scenario_first|0,gemma4:e2b,193,,True,scenario_first,0,D,D
1164,gemma4:e2b|194||True|scenario_first|0,gemma4:e2b,194,,True,scenario_first,0,C,C
1171,gemma4:e2b|195||True|options_first|0,gemma4:e2b,195,,True,options_first,0,C,C
1177,gemma4:e2b|196||True|options_first|0,gemma4:e2b,196,,True,options_first,0,F,F
1182,gemma4:e2b|197||True|scenario_first|0,gemma4:e2b,197,,True,scenario_first,0,C,C
1189,gemma4:e2b|198||True|options_first|0,gemma4:e2b,198,,True,options_first,0,B,B
1194,gemma4:e2b|199||True|scenario_first|0,gemma4:e2b,199,,True,scenario_first,0,B,B
1200,gemma4:e2b|200||True|scenario_first|0,gemma4:e2b,200,,True,scenario_first,0,C,C
1206,gemma4:e2b|201||True|scenario_first|0,gemma4:e2b,201,,True,scenario_first,0,C,C
1213,gemma4:e2b|202||True|options_first|0,gemma4:e2b,202,,True,options_first,0,B,B
1218,gemma4:e2b|203||True|scenario_first|0,gemma4:e2b,203,,True,scenario_first,0,B,B
1224,gemma4:e2b|204||True|scenario_first|0,gemma4:e2b,204,,True,scenario_first,0,C,C
1230,gemma4:e2b|205||True|scenario_first|0,gemma4:e2b,205,,True,scenario_first,0,A,A
1236,gemma4:e2b|206||True|scenario_first|0,gemma4:e2b,206,,True,scenario_first,0,B,B
1242,gemma4:e2b|207||True|scenario_first|0,gemma4:e2b,207,,True,scenario_first,0,B,B
1248,gemma4:e2b|208||True|scenario_first|0,gemma4:e2b,208,,True,scenario_first,0,D,D
1254,gemma4:e2b|209||True|scenario_first|0,gemma4:e2b,209,,True,scenario_first,0,D,D
1260,gemma4:e2b|210||True|scenario_first|0,gemma4:e2b,210,,True,scenario_first,0,C,C
1266,gemma4:e2b|211||True|scenario_first|0,gemma4:e2b,211,,True,scenario_first,0,C,C
1272,gemma4:e2b|212||True|scenario_first|0,gemma4:e2b,212,,True,scenario_first,0,B,B
1278,gemma4:e2b|213||True|scenario_first|0,gemma4:e2b,213,,True,scenario_first,0,D,D
1285,gemma4:e2b|214||True|options_first|0,gemma4:e2b,214,,True,options_first,0,C,C
1290,gemma4:e2b|215||True|scenario_first|0,gemma4:e2b,215,,True,scenario_first,0,D,D
1296,gemma4:e2b|216||True|scenario_first|0,gemma4:e2b,216,,True,scenario_first,0,C,C
1302,gemma4:e2b|217||True|scenario_first|0,gemma4:e2b,217,,True,scenario_first,0,C,C
1308,gemma4:e2b|218||True|scenario_first|0,gemma4:e2b,218,,True,scenario_first,0,F,F
1315,gemma4:e2b|219||True|options_first|0,gemma4:e2b,219,,True,options_first,0,B,B
1320,gemma4:e2b|220||True|scenario_first|0,gemma4:e2b,220,,True,scenario_first,0,B,B
1326,gemma4:e2b|221||True|scenario_first|0,gemma4:e2b,221,,True,scenario_first,0,B,B
1332,gemma4:e2b|222||True|scenario_first|0,gemma4:e2b,222,,True,scenario_first,0,B,B
1338,gemma4:e2b|223||True|scenario_first|0,gemma4:e2b,223,,True,scenario_first,0,C,C
1345,gemma4:e2b|224||True|options_first|0,gemma4:e2b,224,,True,options_first,0,A,A
1350,gemma4:e2b|225||True|scenario_first|0,gemma4:e2b,225,,True,scenario_first,0,C,C
1356,gemma4:e2b|226||True|scenario_first|0,gemma4:e2b,226,,True,scenario_first,0,B,B
1362,gemma4:e2b|227||True|scenario_first|0,gemma4:e2b,227,,True,scenario_first,0,C,C
1369,gemma4:e2b|228||True|options_first|0,gemma4:e2b,228,,True,options_first,0,B,B
1374,gemma4:e2b|229||True|scenario_first|0,gemma4:e2b,229,,True,scenario_first,0,C,C
1380,gemma4:e2b|230||True|scenario_first|0,gemma4:e2b,230,,True,scenario_first,0,C,C
1386,gemma4:e2b|231||True|scenario_first|0,gemma4:e2b,231,,True,scenario_first,0,C,C
1392,gemma4:e2b|232||True|scenario_first|0,gemma4:e2b,232,,True,scenario_first,0,B,B
1398,gemma4:e2b|233||True|scenario_first|0,gemma4:e2b,233,,True,scenario_first,0,E,E
1405,gemma4:e2b|234||True|options_first|0,gemma4:e2b,234,,True,options_first,0,C,C
1410,gemma4:e2b|235||True|scenario_first|0,gemma4:e2b,235,,True,scenario_first,0,B,B
1416,gemma4:e2b|236||True|scenario_first|0,gemma4:e2b,236,,True,scenario_first,0,C,C
1422,gemma4:e2b|237||True|scenario_first|0,gemma4:e2b,237,,True,scenario_first,0,B,B
1429,gemma4:e2b|238||True|options_first|0,gemma4:e2b,238,,True,options_first,0,B,B
1434,gemma4:e2b|239||True|scenario_first|0,gemma4:e2b,239,,True,scenario_first,0,B,B
1440,gemma4:e2b|240||True|scenario_first|0,gemma4:e2b,240,,True,scenario_first,0,B,B
1446,gemma4:e2b|241||True|scenario_first|0,gemma4:e2b,241,,True,scenario_first,0,C,C
1452,gemma4:e2b|242||True|scenario_first|0,gemma4:e2b,242,,True,scenario_first,0,B,B
1458,gemma4:e2b|243||True|scenario_first|0,gemma4:e2b,243,,True,scenario_first,0,B,B
1464,gemma4:e2b|244||True|scenario_first|0,gemma4:e2b,244,,True,scenario_first,0,E,E
1471,gemma4:e2b|245||True|options_first|0,gemma4:e2b,245,,True,options_first,0,B,B
1476,gemma4:e2b|246||True|scenario_first|0,gemma4:e2b,246,,True,scenario_first,0,E,E
1482,gemma4:e2b|247||True|scenario_first|0,gemma4:e2b,247,,True,scenario_first,0,E,E
1488,gemma4:e2b|248||True|scenario_first|0,gemma4:e2b,248,,True,scenario_first,0,F,F
1494,gemma4:e2b|249||True|scenario_first|0,gemma4:e2b,249,,True,scenario_first,0,F,F
1500,gemma4:e2b|250||True|scenario_first|0,gemma4:e2b,250,,True,scenario_first,0,F,F
1506,gemma4:e2b|251||True|scenario_first|0,gemma4:e2b,251,,True,scenario_first,0,A,A
1512,gemma4:e2b|252||True|scenario_first|0,gemma4:e2b,252,,True,scenario_first,0,F,F
1518,gemma4:e2b|253||True|scenario_first|0,gemma4:e2b,253,,True,scenario_first,0,A,A
1524,gemma4:e2b|254||True|scenario_first|0,gemma4:e2b,254,,True,scenario_first,0,C,C
1531,gemma4:e2b|255||True|options_first|0,gemma4:e2b,255,,True,options_first,0,D,D
1536,gemma4:e2b|256||True|scenario_first|0,gemma4:e2b,256,,True,scenario_first,0,B,B
1542,gemma4:e2b|257||True|scenario_first|0,gemma4:e2b,257,,True,scenario_first,0,C,C
1548,gemma4:e2b|258||True|scenario_first|0,gemma4:e2b,258,,True,scenario_first,0,C,C
1555,gemma4:e2b|259||True|options_first|0,gemma4:e2b,259,,True,options_first,0,E,E
1560,gemma4:e2b|260||True|scenario_first|0,gemma4:e2b,260,,True,scenario_first,0,D,D
1567,gemma4:e2b|261||True|options_first|0,gemma4:e2b,261,,True,options_first,0,F,F
1572,gemma4:e2b|262||True|scenario_first|0,gemma4:e2b,262,,True,scenario_first,0,C,C
1578,gemma4:e2b|263||True|scenario_first|0,gemma4:e2b,263,,True,scenario_first,0,B,B
1585,gemma4:e2b|264||True|options_first|0,gemma4:e2b,264,,True,options_first,0,D,D
1591,gemma4:e2b|265||True|options_first|0,gemma4:e2b,265,,True,options_first,0,D,D
1596,gemma4:e2b|266||True|scenario_first|0,gemma4:e2b,266,,True,scenario_first,0,B,B
1602,gemma4:e2b|267||True|scenario_first|0,gemma4:e2b,267,,True,scenario_first,0,A,A
1608,gemma4:e2b|268||True|scenario_first|0,gemma4:e2b,268,,True,scenario_first,0,C,C
1615,gemma4:e2b|269||True|options_first|0,gemma4:e2b,269,,True,options_first,0,C,C
1620,gemma4:e2b|270||True|scenario_first|0,gemma4:e2b,270,,True,scenario_first,0,C,C
1626,gemma4:e2b|271||True|scenario_first|0,gemma4:e2b,271,,True,scenario_first,0,C,C
1632,gemma4:e2b|272||True|scenario_first|0,gemma4:e2b,272,,True,scenario_first,0,C,C
1638,gemma4:e2b|273||True|scenario_first|0,gemma4:e2b,273,,True,scenario_first,0,C,C
1644,gemma4:e2b|274||True|scenario_first|0,gemma4:e2b,274,,True,scenario_first,0,C,C
1650,gemma4:e2b|275||True|scenario_first|0,gemma4:e2b,275,,True,scenario_first,0,C,C
1657,gemma4:e2b|276||True|options_first|0,gemma4:e2b,276,,True,options_first,0,D,D
1662,gemma4:e2b|277||True|scenario_first|0,gemma4:e2b,277,,True,scenario_first,0,D,D
1668,gemma4:e2b|278||True|scenario_first|0,gemma4:e2b,278,,True,scenario_first,0,B,B
1674,gemma4:e2b|279||True|scenario_first|0,gemma4:e2b,279,,True,scenario_first,0,C,C
1680,gemma4:e2b|280||True|scenario_first|0,gemma4:e2b,280,,True,scenario_first,0,B,B
1687,gemma4:e2b|281||True|options_first|0,gemma4:e2b,281,,True,options_first,0,D,D
1692,gemma4:e2b|282||True|scenario_first|0,gemma4:e2b,282,,True,scenario_first,0,D,D
1698,gemma4:e2b|283||True|scenario_first|0,gemma4:e2b,283,,True,scenario_first,0,E,E
1704,gemma4:e2b|284||True|scenario_first|0,gemma4:e2b,284,,True,scenario_first,0,F,F
1710,gemma4:e2b|285||True|scenario_first|0,gemma4:e2b,285,,True,scenario_first,0,E,E
